пп;Код;Автор;Наименование;Издат-во;ISBN;Станд.;Код аналога;Год;ФП;ФГОС;02 ИЗДАТЕЛЬСКИЙ ТИП ЦЕН;;03 Оптовая
3597;55576238;Желтовская Л.Я., Калинина О.Б.;Желтовская Русский язык 3кл.  Рабочая тетрадь. В 2-х частях. Часть 2. ФГОС (Дрофа);Просвещение;978-5-09-088618-5;80; ;2021-2022; ;ФГОС;175.5;;158
3598;55577626;Желтовская Л.Я., Калинина О.Б.;Желтовская Русский язык 4кл. Рабочая тетрадь. В 2-х частях. Часть 1. ФГОС (Дрофа);Просвещение;978-5-09-090158-1;50; ;2020-2022; ;ФГОС;175.5;;158
3599;55577627;Желтовская Л.Я.;Желтовская Русский язык 4кл. Рабочая тетрадь. В 2-х частях. Часть 2 ФГОС (Дрофа);Просвещение;978-5-09-090159-8;50; ;2021-2022; ;ФГОС;175.5;;158
3600;9998;Илюхина В.А.;Илюхина Пропись 1кл., ч.1(к Букварю Андриановой) ФГОС (Дрофа);Просвещение;978-5-09-089231-5;60; ;2021-2022; ;ФГОС;153.5;;138.2
3601;9999;Илюхина В.А.;Илюхина Пропись 1кл., ч.2(к Букварю Андриановой) ФГОС (Дрофа);Просвещение;978-5-09-090153-6;60; ;2021-2022; ;ФГОС;153.5;;138.2
3602;2766;Илюхина В.А.;Илюхина Пропись 1кл., ч.3(к Букварю Андриановой) ФГОС (Дрофа);Просвещение;978-5-09-090156-7;60; ;2021-2022; ;ФГОС;153.5;;138.2
3603;55555558;Илюхина В.А.;Илюхина Пропись 1кл., ч.4(к Букварю Андриановой) ФГОС (Дрофа);Просвещение;978-5-09-089232-2;60; ;2022; ;ФГОС;153.5;;138.2
3604;55608456;Кочурова Е.Э.;Рыдзе Математика 2-3 кл. Решение задач. Работа с информацией. Р/Т для проверки знаний ФГОС (АСТ);Дрофа;978-5-17-084867-6;50; ;2014; ;ФГОС;95;;85.5
3605;55610975;Шапошникова Т.Д.;Амиров Основы мировых религ. культур и светской этики 4-5 кл. Рабочая тетрадь РИТМ ФГОС (ДРОФА);Дрофа;978-5-358-22699-9;26; ;2019; ;ФГОС;51;;51
3606;55598664;Саплина Е.В., А.И. Саплин, Сивоглазов В.И.;Саплина,Сивоглазов Окружающий мир. 3кл. Ч.1. РИТМ. (ФГОС)(ДРОФА);Дрофа;978-5-358-17141-1;15; ;2020;ФП;ФГОС;379.1;;379.1
3607;55598665;Саплина Е.В., А.И. Саплин, Сивоглазов В.И.;Саплина,Сивоглазов Окружающий мир. 3кл. Ч.2. РИТМ. (ФГОС)(ДРОФА);Дрофа;978-5-358-17140-4;15; ;2020;ФП;ФГОС;379.1;;379.1
3608;55598666;Саплина Е.В., А.И. Саплин, Сивоглазов В.И.;Саплина,Сивоглазов Окружающий мир. 4кл. Ч.1. РИТМ. (ФГОС)(ДРОФА);Дрофа;978-5-358-20971-8;16; ;2018-2020;ФП;ФГОС;361;;361
3609;55598667;Саплина Е.В., А.И. Саплин, Сивоглазов В.И.;Саплина,Сивоглазов Окружающий мир. 4кл. Ч.2. РИТМ. (ФГОС)(ДРОФА);Дрофа;978-5-358-20972-5;20; ;2018-2020;ФП;ФГОС;361;;361
3610;55608619;Афанасьева О.В., Михеева И.В., Баранова К.М.;"Афанасьева, Михеева Англ. яз. ""Rainbow English"" 10кл. Базовый уровень ВЕРТИКАЛЬ (ДРОФА)";Дрофа;978-5-09-087673-5;10; ;2021-2022;ФП;ФГОС;947.7;;947.7
3611;55612873;Афанасьева О.В., Михеева И.В., Баранова К.М.;"Афанасьева, Михеева Англ. яз. ""Rainbow English"" 11кл. Базовый уровень ВЕРТИКАЛЬ (ДРОФА)";Дрофа;978-5-09-087670-4;10; ;2021-2022;ФП;ФГОС;947.7;;947.7
3612;55630129;Афанасьева О.В., Михеева И.В., Колесникова Е.А.;"Афанасьева, Михеева Англ. яз. ""Rainbow English"" 2 кл. Диагностические работы ФГОС (ДРОФА)";Дрофа;978-5-09-090988-4;24; ;2022; ;ФГОС;260.2;;234.2
3613;55616851;Афанасьева О.В., Михеева И.В., Баранова К.М., Чупр;"Афанасьева, Михеева Англ. яз. ""Rainbow English"" 2 кл. Контрольные работы РИТМ ФГОС (ДРОФА)";Дрофа;978-5-09-089952-9;20; ;2021-2022; ;ФГОС;243.7;;219.3
3614;55609217;Афанасьева О.В., Михеева И.В., Баранова К.М.;"Афанасьева, Михеева Англ. яз. ""Rainbow English"" 2 кл. Лексико-граммат.практикум Р/Т ФГОС (ДРОФА)";Дрофа;978-5-09-089951-2;30; ;2021-2022; ;ФГОС;263.5;;237.2
3615;55638293;Афанасьева О.В., Михеева И.В.;"Афанасьева, Михеева Англ. яз. ""Rainbow English"" 2 кл. Прописи (ДРОФА)";Дрофа;978-5-09-089950-5;20; ;2021-2022; ;ФГОС;263.5;;237.2
3616;55597341;Афанасьева О.В., Михеева И.В.;"Афанасьева, Михеева Англ. яз. ""Rainbow English"" 2 кл. Рабочая тетрадь РИТМ ФГОС (ДРОФА)";Дрофа;978-5-09-089229-2;16; ;2021; ;ФГОС;398.2;;358.4
3617;55612682;Афанасьева О.В., Михеева И.В.;"Афанасьева, Михеева Англ. яз. ""Rainbow English"" 2кл. (в 2-х частях) Часть 1 РИТМ (ДРОФА)";Просвещение;978-5-09-087770-1;16; ;2021-2022;ФП;ФГОС;438.9;;438.9
3618;55612683;Афанасьева О.В., Михеева И.В.;"Афанасьева, Михеева Англ. яз. ""Rainbow English"" 2кл. (в 2-х частях) Часть 2 РИТМ  (ДРОФА)";Просвещение;978-5-09-087741-1;16; ;2021-2022;ФП;ФГОС;438.9;;438.9
3619;55612138;Афанасьева О.В., Михеева И.В.;"Афанасьева, Михеева Англ. яз. ""Rainbow English"" 3 кл. Диагностические работы Р/Т ФГОС (ДРОФА)";Дрофа;978-5-09-089953-6;24; ;2022; ;ФГОС;260.2;;234.2
3620;55616852;Афанасьева О.В., Михеева И.В., Баранова К.М.;"Афанасьева, Михеева Англ. яз. ""Rainbow English"" 3 кл. Контрольные работы РИТМ ФГОС (ДРОФА)";Дрофа;978-5-09-089955-0;30; ;2022; ;ФГОС;243.7;;219.3
3621;55613313;Афанасьева О.В., Михеева И.В.;"Афанасьева, Михеева Англ. яз. ""Rainbow English"" 3 кл. Лексико-граммат.практикум Р/Т ФГОС (ДРОФА)";Дрофа;978-5-09-089954-3;18; ;2022; ;ФГОС;263.5;;237.2
3622;55639470;Афанасьева О.В., Михеева И.В., Баранова К.М., Сьян;"Афанасьева, Михеева Англ. яз. ""Rainbow English"" 3 кл. Подготовка к ВПР (ДРОФА)";Просвещение/Союз;978-5-09-090537-4;30; ;2021-2022; ;ФГОС;163.24;;163.24
3623;55601402;Афанасьева О.В., Михеева И.В.;"Афанасьева, Михеева Англ. яз. ""Rainbow English"" 3 кл. Рабочая тетрадь РИТМ ФГОС (ДРОФА)";Дрофа;978-5-09-089228-5;16; ;2021-2022; ;ФГОС;398.2;;358.4
3624;55613073;Афанасьева О.В., Михеева И.В.;"Афанасьева, Михеева Англ. яз. ""Rainbow English"" 3кл. (в 2-х частях) Часть 1 РИТМ (ДРОФА)";Дрофа;978-5-09-088614-7;16; ;2021;ФП;ФГОС;452.7;;452.7
3625;55613072;Афанасьева О.В., Михеева И.В.;"Афанасьева, Михеева Англ. яз. ""Rainbow English"" 3кл. (в 2-х частях) Часть 2 РИТМ (ДРОФА)";Дрофа;978-5-09-088615-4;16; ;2020-2021;ФП;ФГОС;452.7;;452.7
3626;55612648;Афанасьева О.В., Михеева И.В., Фроликова Е.Ю.;"Афанасьева, Михеева Англ. яз. ""Rainbow English"" 4 кл. Диагностические работы Р/Т ФГОС (ДРОФА)";Дрофа;978-5-09-089957-4;30; ;2022; ;ФГОС;260.2;;234.2
3627;55613941;Афанасьева О.В., Михеева И.В.;"Афанасьева, Михеева Англ. яз. ""Rainbow English"" 4 кл. Книга для чтения ФГОС (ДРОФА)";Просвещение/Союз;978-5-09-084416-1;20; ;2018-2021; ;ФГОС;261.8;;235.7
3628;55616853;Афанасьева О.В., Михеева И.В., Баранова К.М.;"Афанасьева, Михеева Англ. яз. ""Rainbow English"" 4 кл. Контрольные работы РИТМ ФГОС (ДРОФА)";Дрофа;978-5-09-089958-1;25; ;2022; ;ФГОС;243.7;;219.3
3629;55612780;Афанасьева О.В., Михеева И.В., Сьянов А.В.;"Афанасьева, Михеева Англ. яз. ""Rainbow English"" 4 кл. Лексико-граммат.практикум Р/Т ФГОС (ДРОФА)";Дрофа;978-5-09-089956-7;18; ;2022; ;ФГОС;263.5;;237.2
3630;55643971;Афанасьева О.В., Михеева И.В., Баранова К.М., Сьян;"Афанасьева, Михеева Англ. яз. ""Rainbow English"" 4 кл. Подготовка к ВПР (ДРОФА)";Просвещение/Союз;978-5-09-091290-7;25; ;2021-2022; ;ФГОС;238.2;;214.4
3631;55601403;Афанасьева О.В., Михеева И.В.;"Афанасьева, Михеева Англ. яз. ""Rainbow English"" 4 кл. Рабочая тетрадь РИТМ ФГОС (ДРОФА)";Дрофа;978-5-09-090989-1;20; ;2021-2022; ;ФГОС;398.2;;358.4
3632;55613069;Афанасьева О.В., Михеева И.В.;"Афанасьева, Михеева Англ. яз. ""Rainbow English"" 4кл. (в 2-х частях) Часть 1 РИТМ (ДРОФА)";Дрофа;978-5-09-087721-3;15; ;2022;ФП;ФГОС;452.7;;452.7
3633;55613068;Афанасьева О.В., Михеева И.В.;"Афанасьева, Михеева Англ. яз. ""Rainbow English"" 4кл. (в 2-х частях) Часть 2 РИТМ (ДРОФА)";Дрофа;978-5-09-087727-5;15; ;2022;ФП;ФГОС;452.7;;452.7
3634;55630230;Афанасьева О.В., Михеева И.В., Колесникова Е.А.;"Афанасьева, Михеева Англ. яз. ""Rainbow English"" 5 кл. Диагностические работы Р/Т ФГОС (ДРОФА)";Просвещение/Союз;978-5-09-088456-3;40; ;2021-2022; ;ФГОС;260.2;;234.2
3635;55639471;Афанасьева О.В., Михеева И.В., Баранова К.М.;"Афанасьева, Михеева Англ. яз. ""Rainbow English"" 5 кл. Подготовка в ВПР (ДРОФА)";Просвещение/Союз;978-5-09-093435-0;50; ;2021-2022; ;ФГОС;161.7;;145.6
3636;55613283;Афанасьева О.В., Михеева И.В., Баранова К.М.;"Афанасьева, Михеева Англ. яз. ""Rainbow English"" 5кл. (в 2-х частях) Ч.1 ВЕРТИКАЛЬ (ДРОФА)";Дрофа;978-5-09-087767-1;16; ;2022;ФП;ФГОС;493.9;;493.9
3637;55613282;Афанасьева О.В., Михеева И.В., Баранова К.М.;"Афанасьева, Михеева Англ. яз. ""Rainbow English"" 5кл. (в 2-х частях) Ч.2 ВЕРТИКАЛЬ (ДРОФА)";Дрофа;978-5-09-087740-4;16; ;2022;ФП;ФГОС;493.9;;493.9
3638;55626130;Афанасьева О.В., Михеева И.В., Баранова К.М.;"Афанасьева, Михеева Англ. яз. ""Rainbow English"" 5кл. Контрольные работы. ВЕРТИКАЛЬ (ДРОФА)";Просвещение/Союз;978-5-09-088914-8;36; ;2021-2022; ;ФГОС;247;;222.3
3639;55607887;Афанасьева О.В., Михеева И.В., Баранова К.М.;"Афанасьева, Михеева Англ. яз. ""Rainbow English"" 5кл. Лексико-грамматич.практикум ВЕРТИКАЛЬ (ДРОФА)";Дрофа;978-5-09-089960-4;20; ;2022; ;ФГОС;263.5;;237.2
3640;55629324;Афанасьева О.В., Михеева И.В., Баранова К.М.;"Афанасьева, Михеева Англ. яз. ""Rainbow English"" 5кл. Раб. тет. (с тест. зад. ОГЭ) ВЕРТИКАЛЬ (ДРОФА)";Дрофа;978-5-09-089959-8;16; ;2022; ;ФГОС;407.6;;366.8
3641;65658383;Афанасьева О.В., Михеева И.В., Баранова К.М.;"Афанасьева, Михеева Англ. яз. ""Rainbow English"" 6 кл. Проверочные работы.Подготовка в ВПР (ДРОФА)";Просвещение/Союз;978-5-09-091609-7;40; ;2021-2022; ;ФГОС;204.1;;183.7
3642;55613066;Афанасьева О.В., Михеева И.В., Баранова К.М.;"Афанасьева, Михеева Англ. яз. ""Rainbow English"" 6кл. (в 2-х частях) Ч.1 ВЕРТИКАЛЬ (ДРОФА)";Дрофа;978-5-09-087787-9;16; ;2022;ФП;ФГОС;493.9;;493.9
3643;55613067;Афанасьева О.В., Михеева И.В., Баранова К.М.;"Афанасьева, Михеева Англ. яз. ""Rainbow English"" 6кл. (в 2-х частях) Ч.2 ВЕРТИКАЛЬ (ДРОФА)";Дрофа;978-5-09-087760-2;16; ;2022;ФП;ФГОС;493.9;;493.9
3644;55613095;Афанасьева О.В., Михеева И.В., Колесникова Е.А.;"Афанасьева, Михеева Англ. яз. ""Rainbow English"" 6кл. Диагност. результ. образован. ВЕРТИКАЛЬ (ДРОФА)";Просвещение/Союз;978-5-09-079093-2;40; ;2021; ;ФГОС;260.2;;234.2
3645;55625049;Афанасьева О.В., Михеева И.В., Баранова К.М.;"Афанасьева, Михеева Англ. яз. ""Rainbow English"" 6кл. Контрольные работы. ВЕРТИКАЛЬ (ДРОФА)";Просвещение/Союз;978-5-09-090504-6;20; ;2021-2022; ;ФГОС;269;;242.1
3646;55611979;Афанасьева О.В., Михеева И.В., Баранова К.М.;"Афанасьева, Михеева Англ. яз. ""Rainbow English"" 6кл. Лексико-грамматич.практикум ВЕРТИКАЛЬ (ДРОФА)";Дрофа;978-5-09-089962-8;20; ;2022; ;ФГОС;263.5;;237.2
3647;55609829;Афанасьева О.В., Михеева И.В., Баранова К.М.;"Афанасьева, Михеева Англ. яз. ""Rainbow English"" 6кл. Раб. тет. (с тест. зад. ЕГЭ) ВЕРТИКАЛЬ (ДРОФА)";Дрофа;978-5-09-078671-3;18;55630145;2021-2022; ;ФГОС;407.6;;366.8
3648;55627286;Афанасьева О.В., Михеева И.В., Сьянов А.В.;"Афанасьева, Михеева Англ. яз. ""Rainbow English"" 7 кл. Книга для чтения ФГОС (ДРОФА)";Просвещение/Союз;978-5-358-21337-1;18; ;2019; ;ФГОС;253;;227.7
3649;65658384;Афанасьева О.В., Михеева И.В., Баранова К.М.;"Афанасьева, Михеева Англ. яз. ""Rainbow English"" 7 кл. Проверочные работы.Подготовка в ВПР (ДРОФА)";Просвещение/Союз;978-5-09-091607-3;40; ;2021-2022; ;ФГОС;204.1;;183.7
3650;55613070;Афанасьева О.В., Михеева И.В., Баранова К.М.;"Афанасьева, Михеева Англ. яз. ""Rainbow English"" 7кл. (в 2-х частях) Ч.1 ВЕРТИКАЛЬ (ДРОФА)";Дрофа;978-5-09-087746-6;14; ;2022;ФП;ФГОС;493.9;;493.9
3651;55613071;Афанасьева О.В., Михеева И.В., Баранова К.М.;"Афанасьева, Михеева Англ. яз. ""Rainbow English"" 7кл. (в 2-х частях) Ч.2 ВЕРТИКАЛЬ (ДРОФА)";Дрофа;978-5-09-087745-9;14; ;2022;ФП;ФГОС;493.9;;493.9
3652;55616845;Афанасьева О.В., Михеева И.В., Макеева С.Н.;"Афанасьева, Михеева Англ. яз. ""Rainbow English"" 7кл. Диагност. результ. образован. (ДРОФА)";Просвещение/Союз;978-5-09-080203-1;60; ;2021; ;ФГОС;260.2;;234.2
3653;55624175;Афанасьева О.В., Михеева И.В., Баранова К.М.;"Афанасьева, Михеева Англ. яз. ""Rainbow English"" 7кл. Контрольные работы. ВЕРТИКАЛЬ (ДРОФА)";Просвещение/Союз;978-5-09-090505-3;20; ;2021-2022; ;ФГОС;269;;242.1
3654;55612685;Афанасьева О.В., Михеева И.В., Баранова К.М.;"Афанасьева, Михеева Англ. яз. ""Rainbow English"" 7кл. Лексико-грамматич.практикум ВЕРТИКАЛЬ (ДРОФА)";Дрофа;978-5-09-089964-2;32; ;2022; ;ФГОС;263.5;;237.2
3655;55630146;Афанасьева О.В., Михеева И.В., Баранова К.М.;"Афанасьева, Михеева Англ. яз. ""Rainbow English"" 7кл. Рабочая тетрадь (ДРОФА)";Дрофа;978-5-09-089963-5;14; ;2021-2022; ;ФГОС;407.6;;366.8
3656;55623670;Афанасьева О.В., Михеева И.В., Баранова К.М.;"Афанасьева, Михеева Англ. яз. ""Rainbow English"" 8 кл. Книга для чтения ФГОС (ДРОФА)";Просвещение/Союз;978-5-358-21342-5;16; ;2018; ;ФГОС;253;;227.7
3657;65658385;Афанасьева О.В., Михеева И.В., Баранова К.М.;"Афанасьева, Михеева Англ. яз. ""Rainbow English"" 8 кл. Проверочные работы.Подготовка в ВПР (ДРОФА)";Просвещение/Союз;978-5-09-080294-9;64; ;2021; ;ФГОС;204.1;;183.7
